Year,Country,SolarEnergy,WindEnergy,HydroEnergy,OtherRenewableEnergy,TotalRenewableEnergy
2000,USA,437.0861069626262,1435.928598332891,1544.3897010793887,319.3963178886665,3736.8007242635726
2001,USA,240.41677639819287,402.79287643706346,398.7421406859391,439.7792655987208,1481.7310591199162
2002,USA,641.0035105688879,1120.4943511348592,334.99364030286415,486.45943347289744,2582.950935479509
2003,USA,849.1983767203795,476.040843881759,609.1024442520711,132.53202943404523,2066.873694288255
2004,USA,373.8180186635839,882.1833611219092,1034.3065316915968,181.05311308911885,2471.361024566209
2005,USA,650.6676052501415,381.34201884765434,796.6459025098709,214.86282948216126,2043.518356089828
2006,USA,510.4629857953323,1220.7287498109176,639.4454296692115,281.4054972861252,2652.0426625615864
2007,USA,633.1731119758382,260.38553653599706,1332.8262482324453,126.73585565928119,2353.1207524035617
2008,USA,158.54643368675156,1433.5511984293332,1941.574456226751,413.7788066524075,3947.4508949952433
2009,USA,374.15239225603364,326.973748208299,1463.1961450706667,248.06862218282058,2412.39090771782
2010,USA,209.83441136030095,843.7299831446512,358.4604858958713,459.1941809354519,1871.2190613362752
2011,USA,332.9019834400152,1061.2789696601767,829.9088293519986,284.0306095300149,2508.120391982205
2012,USA,592.0392514089517,440.3107921831852,1948.2938671997495,398.80977051250153,3379.453681304388
2013,USA,945.5490474077702,1363.2755555559436,1316.4299639788446,464.84340576040256,4090.097972702961
2014,USA,179.64325184672754,454.77772114488874,376.8863911479147,196.39864884346895,1207.706012983
2015,USA,449.8095607205338,552.7537413060647,1708.85376555828,210.53899701211517,2921.9560645969937
2016,USA,352.84105871864267,905.504908105723,539.5711824570965,410.98864133931784,2208.90579062078
2017,USA,167.09557931179376,1482.9530175806724,1612.8161078043177,139.4220566903776,3402.2867613871613
2018,USA,104.96990541124217,1260.0998569912845,1501.657484540949,378.0532256184443,3244.78047256192
2019,USA,794.1433120173511,296.2580472543175,909.3917385252635,102.14107678630837,2101.9341745832407
2020,USA,876.7930832880342,1010.2875648758253,862.5266422495037,78.60125762871064,2828.2085480420737
2021,USA,379.88408954409596,622.7383186347711,1540.3305031747088,336.9008621098459,2879.853773463422
2022,USA,898.4914683186939,813.8794027105341,503.3102180951129,370.9601542503477,2586.6412433746887
2023,USA,784.7065437552077,929.6603568403451,1610.6442059227536,272.20801836397584,3597.2191248822824
2000,China,570.4595464437946,755.8033238661145,343.2125154649618,98.551142146987,1768.026527921858
2001,China,128.28626711806083,1027.3335346429144,834.4051678297553,278.85681102411627,2268.881780614847
2002,China,916.8098265334837,524.0798978935375,997.6509691605705,389.9980123443719,2828.5387059319637
2003,China,305.9183489424602,300.07388277743087,792.5774699534056,122.54957926430198,1521.1192809375987
2004,China,936.7278871083157,1250.556493433742,1376.7863860677198,442.15726558447295,4006.2280321942503
2005,China,823.304869209203,442.5410765518466,1817.3502974329622,292.7040088620428,3375.900252056055
2006,China,826.6961396476563,1364.9186899005413,840.6059074521686,99.52336603745454,3131.744103037821
2007,China,305.1416462877475,755.2401252141332,1690.6251020682382,437.32876246535454,3188.3356360354733
2008,China,106.25691747807163,863.9714933508354,1009.5987053529243,149.9485147118286,2129.77563089366
2009,China,207.87883060031453,638.8997228247163,1902.9464966512826,195.44131940933985,2945.1663694856534
2010,China,566.9115595690295,1113.9246465637311,918.1703240447997,487.3019372244323,3086.308467401993
2011,China,966.2025654479002,527.3169845729734,1145.3224600170552,185.39523941754635,2824.237249455475
2012,China,356.35644493972086,247.95303156089264,1336.2593677658247,276.2055604529877,2216.774404719426
2013,China,146.33087612499043,562.2404035075949,1844.0520061433112,157.8028508001376,2710.4261365760344
2014,China,230.40538488210078,836.2885883608319,1975.6057719880212,158.92487218017519,3201.2246174111287
2015,China,704.9219926652906,1190.1054999273329,703.9838247870794,377.6973568753368,2976.7086742550396
2016,China,431.0048194473279,1021.9975797716534,1377.000508293521,291.0986078336413,3121.1015153461435
2017,China,181.26079304896746,1285.8932442660093,845.326110451951,133.9333296799344,2446.4134774468625
2018,China,136.6976273992875,968.1608261447144,1451.85941513188,57.46452301753527,2614.182391693417
2019,China,560.8837524693529,494.44450775731934,1396.7937436960647,128.46489305224617,2580.586896974983
2020,China,721.8439642922193,702.7559501906986,1892.4409808524488,111.88442486569696,3428.9253202010636
2021,China,406.95971594523263,347.5155776127658,1871.9791510735567,444.80270902144144,3071.2571536529963
2022,China,332.14746494364005,1057.9792598444328,1689.2777403420669,299.84036521975804,3379.2448303498977
2023,China,576.6855205204058,514.4079781705872,458.2747052700287,453.747091078997,2003.1152950400187
2000,India,910.3762514469975,1023.0318944552483,876.3506447827912,207.1443085756974,3016.9030992607345
2001,India,753.3601109832155,1366.2433379383501,1808.0469212506994,400.9439956359307,4328.594365808196
